"","EntityID","Attribute","Value"
"1",1,"GroupID","2"
"11",1,"LocationID","far"
"2",2,"GroupID","3"
"12",2,"LocationID","near"
"3",3,"GroupID","4"
"13",3,"LocationID","near"
"4",4,"GroupID","8"
"14",4,"LocationID","near"
"5",5,"GroupID","6"
"15",5,"LocationID","far"
"6",6,"GroupID","1"
"16",6,"LocationID","far"
"7",7,"GroupID","6"
"17",7,"LocationID","near"
"8",8,"GroupID","3"
"18",8,"LocationID","near"
"9",9,"GroupID","7"
"19",9,"LocationID","near"
"10",10,"GroupID","0"
"20",10,"LocationID","far"
